;index;name;ingredients;cuisine
1;1;Vietnamese Chicken Meatballs;['1 pound ground chicken', '3 tablespoons fish sauce', '1/2 onion (small, minced)', '2 cloves garlic (finely chopped)', '1 stalk lemongrass (tender white inside part only, minced)', '4 tablespoons chopped cilantro', '1 tablespoon mint (chopped)', '1 1/2 teaspoons cornstarch', '1/2 teaspoon kosher salt', '3 black pepper (grinds of fresh)', 'granulated sugar (for rolling the meatballs, about 1/4 cup)'];Vietnamese
2;2;Vietnamese Restaurant-Style Grilled Lemongrass Pork (Thit Heo Nuong Xa);['1 pound pork blade steaks (boneless, about 1/2 inch thick)', '2 tablespoons light brown sugar (or granulated)', '1 tablespoon chopped garlic', '1 tablespoon shallots (chopped, or yellow onion)', '1 stalk lemongrass (trimmed and finely chopped, 3 tablespoons)', '1/4 teaspoon black pepper', '1 1/2 teaspoons dark soy sauce (dark (black) soy sauce)', '1 1/2 tablespoons fish sauce', '1 tablespoon oil'];Vietnamese
3;3;Vietnamese Caramel Chicken;['1 pound chicken thighs (with skin, deboned)', '2 tablespoons oil', '3 cloves garlic (minced)', '1/2 jalapeno (sliced)', '1 tablespoon sugar', '1 tablespoon fish sauce', 'black pepper', '1 tablespoon fish sauce', '3 tablespoons water', '1/2 tablespoon sugar', '3 teaspoons rice vinegar (or Apple cider vinegar)'];Vietnamese
4;4;Cheater Vietnamese Pho (Pho Bo);['3 marrow bones (beef bone)', '50 ounces beef stock (unsalted)', '16 ounces water', '1 onion (medium, cut in half)', '4 garlic cloves (smashed)', '1 piece ginger (smashed)', '2 tablespoons hoisin sauce (plus more for garnish)', '3 star anise', '1 teaspoon whole cloves', '1 cinnamon stick', '1 teaspoon salt', '1 package rice noodles (thin)', '16 ounces beef sirloin (cut into VERY thin pieces)', 'sprouts (optional)', 'cilantro (optional)', 'jalapeño (optional)', 'lime (optional)'];Vietnamese
5;5;Authentic Vietnamese Beef Pho (Pho Bo);['3 pounds beef (knuckles or neck bones with meat, see notes)', '2 pounds oxtail (beef, see notes)', '10 cups water (or enough to entirely cover meat)', '2 yellow onions (large, peeled)', '1 fresh ginger root (½ size of small palm, roughly peeled)', '4 whole star anise (with pods)', '1/2 tablespoon whole cloves', '1 tablespoon black peppercorns', '4 cloves garlic (smashed)', '1 daikon (peeled and cut into 3 pieces)', '1 cinnamon stick', '3 shallots (small, peeled)', '12 ounces rice noodles (flat, pho noodles)', '1/2 cup fish sauce (see notes)', '1 tablespoon salt (plus more to taste, the original recipe calls for 2 Tbsp)', '12 ounces rice noodles (flat, pho noodles, see notes)', '1 pound sirloin steak (or top round, sliced paper-thin against the grain)', '1 yellow onion (medium, sliced paper-thin on a mandolin)', '6 scallions (chopped into rings)', 'Sriracha chili sauce', 'hoisin sauce', 'cilantro leaves (Fresh)', 'limes (Green, quartered)', 'mung bean sprouts', 'thai basil leaves', 'perilla leaves', 'coriander leaves', 'green chiles (or Fresh whole red)'];Vietnamese
6;6;Vietnamese Pho Recipe (Vietnamese Beef Noodle Soup);"['600 grams onions (about 3 to 4 medium sized onions, split in half)', '200 grams ginger (about 12 cm long ginger, split in half lengthwise)', '2.5 kilograms beef shin (+ leg bone, cut into 2 cm thick slices)', '0.5 kilograms beef brisket (cut into 10cm pieces, weighted after trimming)', '2 star anise (20 star points in total)', '10 cloves', '10 centimeters cinnamon stick', '2 teaspoons fennel seeds', '2 teaspoons coriander seeds', '35 grams salt (about 5 teaspoons)', '60 grams fish sauce (about 4 tablespoons)', '30 grams rock sugar', '800 grams noodles (pho, divided into 8 bowls)', '500 grams sirloin (cut thinly against the grain)', '1 onion (sliced paper thin)', '3 stalks scallions (cut into thin rings)', '3 sprigs coriander (leafs)', 'ground black pepper', '1 sprig spearmint', '1 sprig thai basil', '1 sprig cilantro', '200 grams bean sprouts', ""Bird's eye chili (cut into thin rings)"", '2 lime (cut into wedges)', '200 grams fish sauce (plus more to taste)', '2 limes (each cut into 4 wedges)', 'hoisin sauce', 'Sriracha']";Vietnamese
7;7;Pho {Vietnamese Beef Noodle Soup};['2 tablespoons coriander seeds (whole)', '1 cinnamon stick (roughly broken)', '4 whole star anise', '4 whole cloves', '1 quart beef broth', '1 piece ginger (3-inch size, roughly chopped)', '1 bunch scallions (or green onions reserve the green parts for garnishing the soup, white parts only, optional)', '1 tablespoon fish sauce', '2 teaspoons brown sugar', '5 slices jalapeno pepper (fresh, depending on your spice tolerance)', '1 handful rice noodles (soaked or cooked according to package directions)', '1/4 pound flank steak (sliced paper thin)', '1 bean sprouts (generous handful)', 'scallions (sliced, or green onions to taste green parts only)', '1 sprig fresh basil', '1 sprig fresh cilantro', '3 lime wedges', 'sriracha', 'hoisin sauce'];Vietnamese
8;8;Vietnamese Spring Rolls;['12 spring rolls (wrappers)', '18 cooked shrimp (split in half)', '36 fresh mint leaves', '4 ounces rice noodles (thin, cooked and drained)', '1/2 package bean sprouts', '1/2 bunch cilantro leaves (fresh)', '1 carrot (Large, peeled and julliened)', '3 green onions (green parts only, sliced into thin strips)', '4 ounces pork (cooked, sliced thin)', '1/4 cup natural peanut butter', '1/2 cup water', '3 tablespoons hoisin sauce', '2 tablespoons fresh lime juice', '1 tablespoon soy sauce', '1 tablespoon sugar', '1 tablespoon chili paste', '2 cloves garlic (fresh, pressed or finely minced)', '1 teaspoon toasted sesame oil'];Vietnamese
9;9;Fresh and Easy Vietnamese Noodle Salad;['12 ounces vermicelli noodles (thin Asian, such as rice stick or mung bean)', '2 carrots (shredded)', '2 cucumbers (seeded and shredded)', '4 green onion (chopped)', '1 1/2 cups bean sprouts (fresh)', '1/3 cup chopped cilantro', '1/2 cup fish sauce', '1/2 cup seasoned rice vinegar', '3 tablespoons sugar', '2 cloves garlic (pressed or minced)', '1/4 teaspoon crushed red pepper', 'lime'];Vietnamese
10;10;Vietnamese Lemongrass Chicken;['4 chicken thighs (boneless, skin on, Approximately 1 lb.)', '1/2 stalk lemongrass (using only bottom white part)', '4 cloves garlic', '2 Thai chili', '1 shallot', '2 tablespoons cooking oil', '2 tablespoons fish sauce', '2 tablespoons sugar', '1/4 teaspoon black pepper', 'cilantro leaves', 'jasmine rice (Warm cooked)', 'cucumber (slices)'];Vietnamese
